Count: 637 | File: h2182.tex: | Command \item invalid in math mode.
Count: 79 | File: fkswm.tex: | "equation" env expecting \end{equation}. Instead got \end{array}
Count: 587 | File: Cohen_Tan_LegendreFcns_v2.tex: | Malformed argument. First and last elements must match a valid argument format. In this case, TexSoup could not find matching punctuation for: {.
Count: 48 | File: merger_rev.tex: | "equation" env expecting \end{equation}. Reached end of file.
Count: 4 | File: apj_submitted_lattice.tex: | "center" env expecting \end{center}. Instead got \end{document}
Count: 4 | File: TopologicalString.tex: | "array" env expecting \end{array}. Instead got \end{equation}
Count: 30 | File: nattrass_highpt_proc.tex: | "displaymath" env expecting \]. Reached end of file.
Count: 530 | File: DMNuMass_PRD.tex: | "$" env expecting $. Reached end of file.
Count: 175 | File: rhorho_preprint.tex: | 'TexMathModeEnv' object has no attribute 'find_all'
Count: 21 | File: nuoscillation-IJMPA-revised.tex: | "document" env expecting \end{document}. Instead got \end{array}\
Count: 4 | File: BDFMP_arXiv.tex: | "equation*" env expecting \end{equation*}. Instead got \end{array}
Count: 595 | File: eccprd.tex: | 'utf-8' codec can't decode byte
Count: 72 | File: isoEPL2.tex: | 
Count: 141 | File: vienna.tex: | "eqnarray" env expecting \end{eqnarray}. Reached end of file.
Count: 74 | File: 4626.tex: | "math" env expecting \). Reached end of file.
Count: 47 | File: quint5.tex: | "equation" env expecting \end{equation}. Instead got \end{document}
Count: 98 | File: sprime_lanlv2.tex: | "equation" env expecting \end{equation}. Instead got \end{array}\
Count: 97 | File: PUB_0lepton2010.tex: | list index out of range
Count: 3 | File: CBSidelobeControl.tex: | "eqnarray" env expecting \end{eqnarray}. Instead got \end{matrix}\
Count: 4 | File: diffusionmcmc.tex: | "displaymath" env expecting \end{displaymath}. Instead got \end{array}\
Count: 11 | File: lampensp1.tex: | 'TexNamedEnv' object has no attribute 'find_all'
Count: 3 | File: sxdf8506_hatsukade.tex: | "deluxetable" env expecting \end{deluxetable}. Instead got \end{document}
Count: 7 | File: ICC_2010_final_version.tex: | "align" env expecting \end{align}. Instead got \end{array}\
Count: 11 | File: 4NeutralEpidemics.tex: | 'str' object has no attribute 'name'
Count: 1 | File: resubmit2.tex: | "align" env expecting \end{align}. Instead got \end{matrix}\
Count: 30 | File: mc_net.tex: | "eqnarray" env expecting \end{eqnarray}. Instead got \end{document}
Count: 2 | File: CKM2010-TauCharmExperiments-zyh.tex: | "large" env expecting \end{large}. Reached end of file.
Count: 3 | File: pereiram.tex: | "minipage" env expecting \end{minipage}. Instead got \end{document}
Count: 4 | File: ncKdV.tex: | "eqnarray*" env expecting \end{eqnarray*}. Reached end of file.
Count: 3 | File: sissa1890.tex: | "tabular" env expecting \end{tabular}. Instead got \end{center}
Count: 13 | File: LDADMFT5.tex: | "list" env expecting \end{list}. Reached end of file.
Count: 2 | File: ggwriteup4.tex: | "document" env expecting \end{document}. Instead got \end{split}
Count: 1 | File: FractionallyCalabiYau.tex: | "minipage" env expecting \end{minipage}. Reached end of file.
Count: 32 | File: RadarSVM1.tex: | "eqnarray" env expecting \end{eqnarray}. Instead got \end{array}
Count: 39 | File: hotQuarks_pro2010_131010.tex: | Malformed argument. First and last elements must match a valid argument format. In this case, TexSoup could not find matching punctuation for: [.
Count: 2 | File: D0K0K0BarFinal.tex: | "equation" env expecting \end{equation}. Instead got \end{aligned}\
Count: 2 | File: LinePatterns.tex: | "itshape" env expecting \end{itshape}. Reached end of file.
Count: 1 | File: kcal.tex: | "deluxetable" env expecting \end{deluxetable}. Instead got \end{deluxetable*}
Count: 1 | File: hpoly.tex: | "document" env expecting \end{document}. Instead got \end and corner flips, crankshafts,
Count: 3 | File: paciae_64.tex: | "equation" env expecting \end{equation}. Instead got \end{aligned}
Count: 11 | File: multiring.tex: | "itemize" env expecting \end{itemize}. Reached end of file.
Count: 1 | File: GT16.tex: | "thebibliography" env expecting \end{thebibliography}. Reached end of file.
Count: 1 | File: sa57x.tex: | "longtable" env expecting \end{longtable}. Instead got \end{document}
Count: 23 | File: echodiode.tex: | "$$" env expecting $$. Reached end of file.
Count: 1 | File: gjn-photon-filter-qip-v2.tex: | "sidexample" env expecting \end{sidexample}. Reached end of file.
Count: 2 | File: wmapsz_arxiv.tex: | "align" env expecting \end{align}. Reached end of file.
Count: 1 | File: revisedsync.tex: | "assum" env expecting \end{assum}. Instead got \end{array}\
Count: 1 | File: draco.tex: | "eqnarray" env expecting \end{eqnarray}. Instead got \end{mathletters}
Count: 40 | File: prl_referee5.tex: | "eqnarray" env expecting \end{eqnarray}. Instead got \end{array}\
Count: 1 | File: cloud_addendum_2.tex: | "tabbing" env expecting \end{tabbing}. Instead got \end{center}
Count: 6 | File: curryc.tex: | "figure" env expecting \end{figure}. Reached end of file.
Count: 6 | File: CRAS1987GOUIN.tex: | "equation*" env expecting \end{equation*}. Instead got \end{document}
Count: 4 | File: Re-117dc3.tex: | "multicols" env expecting \end{multicols}. Reached end of file.
Count: 5 | File: gLiNGAM_arxiv.tex: | "equation*" env expecting \end{equation*}. Instead got \end{array}\
